,World- Wide Total,USA,Brazil,Mexico,Germany,Spain,Colombia,Italy,Venezuela,Argentina,Iran
TOTAL PROCEDURES,,,,,,,,,,,
Face and Head,,,,,,,,,,,
Eyelid Surgery,"1,379,263","124,684","116,849","44,454","48,675","21,242","24,396","27,952","21,322","9,667","7,571"
Nose Surgery,"954,423","45,998","77,224","50,437","30,872","10,946","24,919","15,200","14,919","9,549","37,423"
Facelift,"581,193","83,102","78,045","27,900","16,867","8,666","11,305","8,472","8,853","7,346","3,032"
Threadlifts,"165,201","15,333","31,743","4,697",958,"13,386",722,"2,592","1,006","1,006",293
Facial Implants,"190,940","23,673","17,623","14,787","2,103","3,523","3,002",496,"1,278","3,192","4,622"
Ear Surgery,"391,508","16,988","50,352","12,028","10,041","9,891","8,417","6,968","6,358","4,629","3,277"
Hair Transplantation,"108,019","3,189","8,319","3,441","4,052",735,"3,572","1,224",322,"3,123",726
Total Face & Head Procedures,"3,770,546","312,967","380,155","157,744","113,568","68,389","76,333","62,904","54,057","38,514","56,944"
Breast,,,,,,,,,,,
Breast Augmentation,"1,773,584","313,703","226,090","57,691","55,160","38,820","44,403","26,520","38,500","19,678","8,630"
Breastlift,"775,462","108,002","139,835","28,582","18,255","12,849","19,618","10,352","27,972","7,735","6,569"
Breast Reduction,"641,189","77,644","115,097","18,631","19,642","9,863","14,003","6,656","13,048","4,750","9,396"
Gynecomastia,"263,179","17,663","34,754","8,727","10,548","6,396","4,114","6,496","5,367","3,369","2,137"
Total Breast Procedures,"3,453,414","517,012","515,776","113,631","103,604","67,928","82,137","50,024","84,886","35,533","26,732"
Body & Extremities,,,,,,,,,,,
Tummy Tuck,"838,864","119,961","129,601","47,120","19,554","13,141","28,215","9,760","20,668","11,118","7,954"
Post Bariatric,"292,442","53,786","50,461","7,735","8,213","4,964","5,976","7,104","5,930","1,381","1,140"
Upper Armlift - Brachioplasty,"126,642","14,351","13,573","9,037","5,813","1,413","2,375","2,424","3,093","1,568","1,595"
Liposuction,"1,614,031","235,814","227,896","62,713","53,134","37,256","50,559","16,328","32,786","17,766","10,546"
Vaginal Rejuvination - Labiaplasty,"114,135","6,072","13,683","3,519","9,711","2,487","3,145","1,176","2,424","1,360",317
Penile Enlargement,"15,414",61,219,295,"2,786",471,266,256,473,73,12
"Gluteoplasty, Buttock Augmentation","319,960","11,959","63,925","37,743","1,894","3,994","21,546","1,552","10,090","4,126",697
Total Body & Extremities Procedures,"3,321,486","442,005","499,357","168,160","101,105","63,726","112,081","38,600","75,465","37,393","22,260"
Miscellaneous,,,,,,,,,,,
 Lipostructure - Lipofilling - Stem Enhanced Lipofilling,"1,053,890","180,372","96,434","46,965","25,202","13,254","21,404","31,152","17,333","9,213","12,143"
Total Miscellaneous Procedures,"1,053,890","180,372","96,434","46,965","25,202","13,254","21,404","31,152","17,333","9,213","12,143"
Total Surgical Procedures,"11,599,336","1,452,356","1,491,721","486,499","343,479","213,297","291,954","182,680","231,742","120,652","118,079"
Non-Surgical Procedures,,,,,,,,,,,
Laser hair Removal,"1,440,252","167,676","71,149","63,597","5,802","16,325","16,397","6,584","1,232","42,102","7,604"
"Facial Rejuvenation, non-invasive","1,307,300","287,883","61,188","50,220","2,653","28,326","16,369","8,280","6,876","24,911","2,385"
Sclerotherapy,"119,067","19,994","14,722","4,464","1,167","6,142","1,026","3,856",0,"3,491",12
"Fillers, Resorbable","3,089,686","614,772","140,984","75,082","129,279","69,209","29,327","89,576","5,241","30,640","10,781"
"Chemical Peel, CO2 Resurfacing, Dermabrasion","773,442","182,211","53,307","26,629","9,678","20,300","5,121","7,808","7,138","17,569","1,854"
Botulinum Toxin,"5,145,189","1,271,739","308,185","177,863","162,056","93,578","60,762","76,472","39,159","48,459","34,063"
Total Non-Surgical Procedures,"11,874,937","2,544,275","649,536","397,854","310,636","233,880","129,001","192,576","59,646","167,171","56,699"
Total Procedures,"23,474,273","3,996,631","2,141,257","884,353","654,115","447,177","420,955","375,256","291,388","287,823","174,778"
