,Totals,USA,Brazil,South Korea,India,Mexico,Germany,Colombia,France,Italy
Face & Head,,,,,,,,,,
Brow Lift,"243,140","28,535","31,405","16,437","5,827","14,214","5,714","7,315","4,446","3,584"
Ear Surgery,"252,718","16,250","42,240","6,472","18,060","10,323","10,052","7,192","6,375","4,544"
Eyelid Surgery,"1,264,702","141,505","143,165","101,985","29,434","48,329","54,907","27,959","35,473","19,960"
Facelift,"411,529","75,920","48,840","28,116","7,783","16,585","10,801","8,503","12,474","4,544"
Facial Bone Contouring,"108,250","11,115","7,480","8,143","4,666","11,269","2,092","4,921",323,"2,200"
Fat Grafting-face,"591,894","49,660","51,645","63,326","27,649","27,652","21,877","15,827","11,847","11,216"
Neck Lift,"232,606","32,695","31,405","7,093","7,826","16,151","7,498","8,294","7,724","2,984"
Hair Transplantation,"134,019","7,605","9,075","7,436","39,625",992,"1,167","3,088","2,651",984
Rhinoplasty,"730,287","49,855","65,120","72,562","44,290","39,897","12,717","24,852","20,055","9,984"
Total Face & Head Procedures,"3,969,147","413,140","430,375","311,571","185,158","185,411","126,824","107,949","101,365","60,000"
Breast,,,,,,,,,,
Breast Augmentation saline,"64,674","36,140",275,"3,365",366,0,385,171,447,0
Breast Augmentation silicone,"1,311,129","255,060","158,950","44,039","23,865","57,552","46,242","44,888","37,354","21,744"
Breast Augmentation fat transfer,"113,189","18,785","7,205","3,150","5,375","4,061","6,749","1,644","4,123","1,656"
Breast Implant Removal,"153,476","37,115","12,705","6,300","1,742","5,952","5,967","6,090","6,004","2,744"
Breast Lift,"512,248","106,535","80,520","8,101","9,052","21,902","15,271","16,321","14,421","7,160"
Breast Reduction,"423,093","67,080","72,600","5,165","16,491","14,198","17,121","11,381","18,953","3,672"
Gynecomastia,"212,328","25,545","26,400","4,757","25,091","6,960","9,876","4,142","4,351","4,216"
Total Breast Procedures,"2,790,138","546,260","358,655","74,876","81,980","110,624","101,611","84,636","85,652","41,192"
Body & Extremities,,,,,,,,,,
Abdominoplasty,"758,590","137,605","131,120","7,993","32,401","39,634","17,682","29,317","22,924","5,384"
Buttock Augmentation implants only,"30,916","1,560","8,140",514,710,"2,945",385,"2,423",124,344
Buttock Augmentationfat transfer,"258,107","21,255","55,605","2,572","4,752","29,528","3,336","23,038","3,021","2,344"
Buttock Lift,"30,905","4,095","4,125",471,"1,935","2,945",848,561,646,360
Liposuction,"1,394,588","240,565","182,765","39,753","88,193","70,773","40,065","51,623","29,450","20,784"
Lower Body Lift,"56,169","6,955","7,700",429,"3,677","3,286","2,092","2,632","2,850",728
Penile Enlargement,"11,703",325,440,"1,222","1,484",78,319,665,228,440
