TOTAL PROCEDURES,Totals,USA,BRAZIL,JAPAN,ITALY,MEXICO,RUSSIA,INDIA,TURKEY,GERMANY,FRANCE,COLOMBIA,SPAIN
Surgical Procedures,,,,,,,,,,,,,
Face & Head,,,,,,,,,,,,,
Brow Lift,"261,663","28,644","41,140","6,542","6,817","15,932","26,343","4,820","6,528","7,741","2,413","6,909","4,529"
Ear Surgery,"298,975","16,500","46,530","5,474","12,393","13,056","23,391","18,600","8,760","8,951","8,987","6,223","8,968"
Eyelid Surgery,"1,347,509","129,624","159,720","106,177","42,483","54,608","118,224","25,780","25,284","58,245","28,681","30,880","31,062"
Facelift,"427,065","71,148","57,255","7,966","8,517","18,644","41,984","8,680","8,628","15,633","13,756","8,350","8,256"
Facial Bone Contouring,"109,775","9,636","11,110","4,917","2,159","10,131","7,524","6,640","2,880","2,223",304,"3,146","2,745"
Fat Grafting-face,"596,836","57,222","73,095","7,699","23,664","30,981","44,424","30,100","20,184","22,810","10,783","14,935","13,216"
Neck Lift,"264,050","33,462","40,810","1,580","5,610","16,291","26,650","7,460","5,832","8,294","7,477","6,125","4,409"
Hair Transplantation,"135,053","11,418","10,065","1,736","6,426","5,033",841,"36,500","11,328","1,002",922,"2,940","2,265"
Rhinoplasty,"786,852","53,130","74,030","23,407","30,855","45,278","54,817","54,180","43,140","15,898","17,746","22,687","17,675"
Total Face & Head Procedures,"4,227,778","410,784","513,755","165,496","138,924","209,953","344,195","192,760","132,564","140,797","91,067","102,194","93,126"
Breast,,,,,,,,,,,,,
Breast Augmentation จน Aaline,"61,780","40,062","1,540","1,669",0,359,0,0,216,0,380,853,401
Breast Augmentation จน Silicone,"1,449,337","270,270","204,710","13,306","47,838","58,252","75,625","25,960","34,104","45,585","42,437","41,042","41,633"
Breast Augmentation จน Fat Rransfer,"138,154","20,790","10,835","5,296","6,290","3,595","8,610","6,960","4,164","6,624","4,693","2,185","4,459"
Breast Implant Removal,"155,453","41,184","14,190","2,670","6,817","5,735","5,802","2,000","2,340","5,368","3,648","4,439","3,647"
Breast Lift,"583,192","123,024","88,825","3,449","15,895","21,226","25,810","12,720","18,636","18,616","15,580","16,425","12,164"
Breast Reduction,"465,665","66,132","78,815","3,160","10,217","13,154","11,009","19,680","18,480","17,407","20,150","13,005","9,729"
Gynecomastia,"236,371","25,014","35,860",823,"8,245","8,023","7,360","25,640","9,384","8,513","5,311","4,479","4,489"
Total Breast Procedures,"3,089,952","586,476","434,775","30,371","95,302","110,344","134,214","92,960","87,324","102,113","92,198","82,428","76,523"
Body & Extremities,,,,,,,,,,,,,
Abdominoplasty,"769,067","137,610","133,100","1,402","18,292","38,121","25,051","32,720","17,892","20,678","21,575","22,413","13,647"
Buttock Augmentation จน Implants Only,"31,330","1,584","8,360",0,459,"3,056","1,025",320,"1,284",438,380,"1,519",762
Buttock Augmentation จน Fat Transfer,"300,791","23,364","77,770",22,"3,876","30,131","7,749","5,680","7,008","4,055","3,572","19,796","4,649"
Buttock Lift,"37,157","5,742","3,795",0,884,"2,712","1,743","1,100","1,248","1,336","1,691",735,361
Liposuction,"1,453,340","257,334","209,165","8,344","51,459","69,445","48,626","72,280","37,560","44,836","31,882","44,639","23,547"
Lower Body Lift,"72,253","7,920","9,570",534,"1,003","3,644","1,025","5,320","1,980","2,604","3,059","2,558",952
Penile Enlargement,"8,434",0,110,156,578,556,451,500,468,81,513,343,481
