RANK,COUNTRY,PROCEDURE,% OF WORLD-WIDE TOTAL
1,Brazil,"501,490",16.20%
2,USA,"483,054",15.60%
3,Mexico,"167,746",5.40%
4,India,"135,880",4.40%
5,Colombia,"103,821",3.30%
6,Russia,"101,127",3.30%
7,Germany,"93,485",3.00%
8,Italy,"90,763",2.90%
9,Turkey,"85,932",2.80%
10,France,"76,029",2.50%
11,Egypt,"63,050",2.00%
12,Spain,"56,202",1.80%
13,Venezuela,"55,160",1.80%
14,Argentina,"28,128",0.90%
15,Chinese Taipei,"26,341",0.80%
16,Iran,"25,161",0.80%
17,Australia,"25,086",0.80%
18,Belgium,"21,851",0.70%
19,Greece,"19,511",0.60%
20,Thailand,"17,481",0.60%
21,Japan,"13,150",0.40%
22,Lebanon,"11,887",0.40%
23,Romania,"8,090",0.30%
24,South Africa,"4,870",0.20%
