RANK,COUNTRY,PROCEDURE,% OF WORLD-WIDE TOTAL
1,Brazil,"513,755",12.20%
2,USA,"410,784",9.70%
3,Russia,"344,195",8.10%
4,Mexico,"209,953",5.00%
5,India,"192,760",4.60%
6,Japan,"165,496",3.90%
7,Germany,"140,797",3.30%
8,Italy,"138,924",3.30%
9,Turkey,"132,564",3.10%
10,Colombia,"102,194",2.40%
11,Spain,"93,126",2.20%
12,France,"91,067",2.20%
13,Chinese Taipei,"79,474",1.90%
14,Egypt,"55,647",1.30%
15,Venezuela,"51,817",1.20%
16,Iran,"46,096",1.10%
17,Thailand,"46,070",1.10%
18,Argentina,"40,924",1.00%
19,Belgium,"37,673",0.90%
20,Australia,"35,763",0.80%
21,Greece,"30,552",0.70%
22,Lebanon,"15,660",0.40%
23,Romania,"11,907",0.30%
24,South Africa,"7,671",0.20%
