rank,COUNTRY,PROCEDURE,% OF WORLD-WIDE TOTAL
1,USA,"2,737,548",20.70%
2,Brazil,"1,074,095",8.10%
3,Japan,"928,960",7.00%
4,Italy,"632,825",4.80%
5,Turkey,"483,744",3.70%
6,India,"456,580",3.50%
7,Mexico,"435,200",3.30%
8,Germany,"394,042",3.00%
9,Russia,"317,094",2.40%
10,Chinese Taipei,"263,154",2.00%
11,France,"258,438",2.00%
12,Spain,"247,223",1.90%
13,Egypt,"220,266",1.70%
14,Greece,"220,215",1.70%
15,Colombia,"216,717",1.60%
16,Argentina,"170,788",1.30%
17,Australia,"129,860",1.00%
18,Belgium,"107,059",0.80%
19,Venezuela,"90,328",0.70%
20,Iran,"57,406",0.40%
21,Romania,"46,247",0.40%
22,Lebanon,"44,904",0.30%
23,Thailand,"27,009",0.20%
24,South Africa,"25,444",0.20%
