Age,Average Number   of  Childbearing  Woman (person),Births(person),1st Births,2nd Births,3rd Births and over,Fertility Rate (бы),1st Births,2nd Births,3rd Births and over,,,
 Total,5667870,175309,93098,69695,12516,30.93,16.43,12.3,2.21,,,
15-19,577169,5305,4614,644,47,9.19,7.99,1.12,0.08,,,
15,97659,106,97,9,,1.09,0.99,0.09,,,,
16,108357,340,313,27,,3.14,2.89,0.25,,,,
17,111740,747,680,64,3,6.69,6.09,0.57,0.02,,,
18,114717,1410,1237,161,12,12.29,10.78,1.4,0.1,,,
19,144696,2703,2288,383,32,18.68,15.81,2.64,0.22,,,
20-24,767236,42170,30821,10270,1079,54.96,40.17,13.39,1.41,,,
20,157829,4352,3614,672,66,27.57,22.9,4.26,0.42,,,
21,144820,6184,4916,1146,122,42.7,33.95,7.92,0.84,,,
22,142136,8139,6117,1832,191,57.26,Feb-00,12.89,1.34,,,
23,143581,9960,7088,2611,261,69.37,49.37,18.18,1.82,,,
24,178870,13535,9086,4009,440,75.67,50.79,22.41,2.46,,,
25-29,957566,71154,39785,27580,3788,74.31,41.55,28.8,3.96,,,
25,206611,16015,10178,5209,627,77.51,49.26,25.21,3.04,,,
26,195910,15451,9216,5535,700,78.87,47.04,28.25,3.57,,,
27,196397,14950,8316,5844,789,74.31,42.34,29.76,4.02,,,
28,190656,13683,7016,5829,838,71.77,36.8,30.57,4.39,,,
29,167992,11055,5059,5163,833,65.8,30.11,30.73,4.96,,,
30-34,771732,34969,11563,19619,3787,45.31,14.98,25.42,4.91,,,
30,154396,8893,3503,4572,818,57.6,22.69,29.61,5.3,,,
31,150811,7729,2697,4257,776,51.25,17.88,28.22,5.14,,,
32,160515,7164,2286,4104,775,44.63,14.24,25.56,4.83,,,
33,160223,6281,1810,3719,753,39.2,11.29,23.21,4.7,,,
34,145788,4901,1267,2968,666,33.62,8.69,20.36,4.57,,,
35-39,747539,13906,3459,8195,2253,18.6,4.63,10.96,3.01,,,
35,146810,4101,1014,2494,592,27.93,6.91,16.99,4.03,,,
36,149816,3461,824,2102,534,23.1,5.5,14.03,3.57,,,
37,143611,2588,637,1528,423,18.02,4.43,10.64,2.95,,,
38,148234,2028,526,1140,361,13.68,3.55,7.69,2.44,,,
39,159068,1730,457,930,342,10.88,2.88,5.85,2.15,,,
40-44,914765,4908,1688,2241,979,5.37,1.85,2.45,1.07,,,
40,166299,1379,407,698,273,8.29,2.45,4.2,1.64,,,
41,176392,1104,358,520,225,6.26,2.03,2.95,1.28,,,
42,184168,932,340,403,189,5.06,1.85,2.194315,1.02,,,
43,189768,785,303,332,149,4.13,1.6,1.75,0.79,,,
44,198138,710,279,288,143,3.58,1.41,1.45,0.72,,,
45-49,931864,2896,1167,1146,583,3.11,1.25,1.23,0.63,,,
45,196830,651,267,252,132,3.31,1.36,1.28,0.67,,,
46,196909,595,246,240,109,3.02,1.25,1.22,0.55,,,
47,183555,562,234,213,115,3.06,1.27,1.16,0.63,,,
48,173400,531,208,210,112,3.06,1.21,1.21,0.65,,,
49,181170,558,212,231,114,3.08,1.17,1.28,0.63,,,
