heat_con,layout,location,neighborhood,type_layout,area,building,decoration,direction,heat,name,price,subway,url,visiting,zone,zoneinfo
集中供暖,整租,广安门,西城,房屋户型：1室1厅1卫  整租,40平米  ,车站西街17号院  ,,南,,车站西街17号院1居室,5530,,https://bj.lianjia.com/zufang/BJ0004868491.html,,广安门租房/高楼层(共18层)/1993年建塔楼,1室1厅  
集中供暖,整租,洋桥,丰台,房屋户型：1室1厅1卫  整租,45平米  ,海户西里  ,原味,南,集中供暖,海户西里1居室,5960,近地铁,https://bj.lianjia.com/zufang/BJ0004872617.html,随时看房,洋桥租房/低楼层(共18层)/1993年建塔楼,1室1厅  
集中供暖,整租,广安门,西城,房屋户型：1室1厅1卫  整租,46平米  ,车站西街17号院  ,,南,,车站西街17号院1居室,5430,,https://bj.lianjia.com/zufang/BJ0004872565.html,,广安门租房/高楼层(共6层)/1992年建板楼,1室1厅  
集中供暖,整租,马甸,西城,房屋户型：1室1厅1卫  整租,60平米  ,阳光丽景  ,原味,北,集中供暖,阳光丽景1居室,8930,近地铁,https://bj.lianjia.com/zufang/BJ0004879242.html,随时看房,马甸租房/低楼层(共16层)/2003年建板塔结合,1室1厅  
自供暖,合租,回龙观,昌平,房屋户型：3室1厅1卫  合租,15平米  ,龙腾苑三区  ,自如友家4.0拿铁,南,自供暖,龙腾苑三区3居室 01卧,3690,近地铁,https://bj.lianjia.com/zufang/BJ0004846189.html,随时看房,回龙观租房/低楼层(共6层)/2002年建板楼,3室1厅  
暂无数据,合租,白石桥,海淀,房屋户型：3室1厅1卫  合租,12平米  ,钢铁研究院  ,,南,,钢铁研究院3居室 02卧,4790,,https://bj.lianjia.com/zufang/BJ0004883867.html,,白石桥租房/中楼层(共16层)/1994年建塔楼,3室1厅  
集中供暖,合租,洋桥,丰台,房屋户型：3室1厅1卫  合租,7平米  ,海户西里33号院  ,,北,,海户西里33号院3居室 02卧,2390,,https://bj.lianjia.com/zufang/BJ0004886918.html,,洋桥租房/中楼层(共18层)/1996年建塔楼,3室1厅  
集中供暖,整租,洋桥,丰台,房屋户型：2室1厅1卫  整租,56平米  ,马家堡东里  ,,东,,马家堡东里2居室,6330,,https://bj.lianjia.com/zufang/BJ0004803941.html,,洋桥租房/高楼层(共6层)/1986年建板楼,2室1厅  
自供暖,合租,回龙观,昌平,房屋户型：3室1厅1卫  合租,15平米  ,龙腾苑三区  ,自如友家4.0拿铁,南,自供暖,龙腾苑三区3居室 01卧,3160,近地铁,https://bj.lianjia.com/zufang/BJ0004803331.html,随时看房,回龙观租房/低楼层(共6层)/2002年建板楼,3室1厅  
集中供暖,合租,清河,海淀,房屋户型：3室1厅1卫  合租,10平米  ,宝盛北里  ,,南,,宝盛北里3居室 03卧,3760,,https://bj.lianjia.com/zufang/BJ0004806559.html,,清河租房/高楼层(共6层)/2009年建板楼,3室1厅  
集中供暖,整租,广安门,西城,房屋户型：2室1厅1卫  整租,56平米  ,车站西街15号院  ,,南,,车站西街15号院2居室,6660,,https://bj.lianjia.com/zufang/BJ0004808799.html,,广安门租房/中楼层(共6层)/1994年建板楼,2室1厅  
集中供暖,合租,洋桥,丰台,房屋户型：3室1厅1卫  合租,12平米  ,海户西里33号院  ,,北,,海户西里33号院3居室 03卧,2890,,https://bj.lianjia.com/zufang/BJ0004812518.html,,洋桥租房/中楼层(共18层)/1996年建塔楼,3室1厅  
集中供暖,整租,西罗园,丰台,房屋户型：1室1厅1卫  整租,42平米  ,西罗园南里  ,,南,,西罗园南里1居室,5330,,https://bj.lianjia.com/zufang/BJ0004809318.html,,西罗园租房/中楼层(共6层)/1993年建板楼,1室1厅  
集中供暖,整租,角门,丰台,房屋户型：2室1厅1卫  整租,57平米  ,司达小区  ,原味,南,集中供暖,司达小区2居室,6060,近地铁,https://bj.lianjia.com/zufang/BJ0004811009.html,随时看房,角门租房/中楼层(共6层)/1986年建板楼,2室1厅  
集中供暖,整租,金融街,西城,房屋户型：1室1厅1卫  整租,65平米  ,北京尊府  ,原味,西,集中供暖,北京尊府1居室,13500,近地铁,https://bj.lianjia.com/zufang/BJ0004803807.html,随时看房,金融街租房/低楼层(共14层)/2010年建塔楼,1室1厅  
暂无数据,合租,角门,丰台,房屋户型：4室1厅1卫  合租,14平米  ,洋桥职工住宅  ,,北,,洋桥职工住宅4居室 05卧,3330,,https://bj.lianjia.com/zufang/BJ0004802139.html,,角门租房/中楼层(共10层)/暂无数据,4室1厅  
集中供暖,整租,刘家窑,丰台,房屋户型：2室1厅1卫  整租,54平米  ,南三环中路  ,原味,南,集中供暖,南三环中路2居室,5730,近地铁,https://bj.lianjia.com/zufang/BJ0004807921.html,随时看房,刘家窑租房/高楼层(共18层)/1991年建塔楼,2室1厅  
集中供暖,合租,回龙观,昌平,房屋户型：3室1厅1卫  合租,18平米  ,龙兴园北区  ,,北,,龙兴园北区3居室 03卧,2960,,https://bj.lianjia.com/zufang/BJ0004812437.html,,回龙观租房/中楼层(共6层)/2000年建板楼,3室1厅  
集中供暖,整租,阜成门,西城,房屋户型：2室1厅1卫  整租,60平米  ,百万庄午区  ,原味,南,集中供暖,百万庄午区2居室,8360,近地铁,https://bj.lianjia.com/zufang/BJ0004811965.html,随时看房,阜成门租房/低楼层(共3层)/1956年建板楼,2室1厅  
集中供暖,合租,安宁庄,海淀,房屋户型：3室1厅1卫  合租,8平米  ,安宁里南区  ,,北,,安宁里南区3居室 02卧,2730,,https://bj.lianjia.com/zufang/BJ0004812629.html,,安宁庄租房/中楼层(共18层)/2000年建塔楼,3室1厅  
集中供暖,整租,陶然亭,西城,房屋户型：1室1厅1卫  整租,48平米  ,四平园  ,原味,南,集中供暖,四平园1居室,6330,近地铁,https://bj.lianjia.com/zufang/BJ0004808013.html,随时看房,陶然亭租房/高楼层(共6层)/1996年建板楼,1室1厅  
集中供暖,合租,望京,朝阳,房屋户型：3室1厅1卫  合租,21平米  ,方舟苑二期  ,,东,,方舟苑二期3居室 03卧,5060,,https://bj.lianjia.com/zufang/BJ0004807421.html,,望京租房/中楼层(共24层)/2001年建塔楼,3室1厅  
